Borrower Id,Borrower Name,Signal Code,Signal Name,Product Type,Alert Id,Date Of Event,Date Of Alert,Alert Severity,Cibil Score,Region,Portfolio,Case Creation Date,Case Type,Case Status,Last comment date,Days since last comment
CUST916471,Vikas Reddy,110,Disbursement of loan done without meeting all pre-disbursement conditions,HL - retail,ALERT001,2025-07-04,2025-07-05,Low,723,North,HL - retail - North,2025-07-05,Medium,In review,2025-07-10,5
CUST644813,BluePeak Constructions Pvt Ltd,950,Not routing of sale proceeds/receipts through the designated escrow accounts,HL - corporate,ALERT002,2025-08-29,2025-08-30,Medium,689,South,HL - corporate - South,2025-08-30,High,Escalation_2,2025-09-06,7
CUST677836,Pooja Mehta,736,Accounts where NACH/PDC bounces for 3 or more occasions in previous 12 months and EMIs are serviced in cash,HL - retail,ALERT006,2025-08-01,2025-08-02,Low,721,East,HL - retail - East,2025-08-02,Medium,WIP,2025-08-05,3
CUST859940,Neha Patel,678,Accounts involving cash payment of processing charge/EMIs (where electronic payment from Savings bank account not established),HL - retail,ALERT007,2025-07-25,2025-07-26,Low,714,South,HL - retail - South,2025-07-26,Medium,WIP,2025-07-28,2
CUST916471,Vikas Reddy,812,Abrupt fall in market price (per square feet rate) of property or guidance value in an area,HL - retail,ALERT008,2025-08-22,2025-08-23,Medium,651,East,HL - retail - East,2025-08-23,High,Escalation_1,2025-08-28,5
CUST128927,Amit Sharma,736,Accounts where NACH/PDC bounces for 3 or more occasions in previous 12 months and EMIs are serviced in cash,HL - retail,ALERT009,2025-07-25,2025-07-26,Low,700,North,HL - retail - North,2025-07-26,Medium,Closed,2025-07-31,5
CUST722919,Ravi Iyer,736,Accounts where NACH/PDC bounces for 3 or more occasions in previous 12 months and EMIs are serviced in cash,HL - retail,ALERT010,2025-06-27,2025-06-28,Medium,683,South,HL - retail - South,2025-06-28,High,Closed,2025-07-01,3
CUST731486,Kiran Das,342,Construction of the house not proceeding as per the disbursement schedule,HL - retail,ALERT011,2025-08-01,2025-08-02,Medium,690,South,HL - retail - South,2025-08-02,High,WIP,2025-08-03,1
CUST417187,Meera Joshi,601,Account in SMA 2 (>60 days overdue status) for more than 3 consecutive months,HL - retail,ALERT013,2025-06-27,2025-06-28,Low,716,West,HL - retail - West,2025-06-28,Medium,Escalation_1,2025-07-04,6
CUST329832,Omkar Housing Pvt Ltd,950,Not routing of sale proceeds/receipts through the designated escrow accounts,HL - corporate,ALERT015,2025-07-04,2025-07-05,Low,719,North,HL - corporate - North,2025-07-05,Medium,WIP,2025-07-07,2
CUST916471,Vikas Reddy,342,Construction of the house not proceeding as per the disbursement schedule,HL - retail,ALERT016,2025-05-02,2025-05-03,Low,701,East,HL - retail - East,2025-05-03,Medium,WIP,2025-05-05,2
CUST859940,Neha Patel,110,Disbursement of loan done without meeting all pre-disbursement conditions,HL - retail,ALERT017,2025-07-04,2025-07-05,Low,732,North,HL - retail - North,2025-07-05,Medium,WIP,2025-07-08,3
CUST417187,Meera Joshi,678,Accounts involving cash payment of processing charge/EMIs (where electronic payment from Savings bank account not established),HL - retail,ALERT018,2025-05-16,2025-05-17,Low,735,East,HL - retail - East,2025-05-17,Medium,Closed,2025-05-24,7
CUST722919,Ravi Iyer,812,Abrupt fall in market price (per square feet rate) of property or guidance value in an area,HL - retail,ALERT019,2025-06-13,2025-06-14,Low,709,North,HL - retail - North,2025-06-14,Medium,Closed,2025-06-17,3
CUST374112,Sneha Nair,342,Construction of the house not proceeding as per the disbursement schedule,HL - retail,ALERT020,2025-05-16,2025-05-17,Low,720,North,HL - retail - North,2025-05-17,Medium,WIP,2025-05-18,1
CUST157781,Suresh Rao,678,Accounts involving cash payment of processing charge/EMIs (where electronic payment from Savings bank account not established),HL - retail,ALERT021,2025-04-25,2025-04-26,Medium,665,North,HL - retail - North,2025-04-26,High,Closed,2025-05-02,6
CUST940996,Arjun Verma,342,Construction of the house not proceeding as per the disbursement schedule,HL - retail,ALERT022,2025-08-29,2025-08-30,Medium,651,West,HL - retail - West,2025-08-30,High,WIP,2025-08-31,1
CUST157781,Suresh Rao,412,Company is unable to contact the borrower during credit monitoring,HL - retail,ALERT023,2025-08-29,2025-08-30,Medium,661,South,HL - retail - South,2025-08-30,High,WIP,2025-09-01,2
CUST677836,Pooja Mehta,523,Construction of house not commenced even after 18 months in case of composite loans,HL - retail,ALERT024,2025-07-18,2025-07-19,Medium,666,West,HL - retail - West,2025-07-19,High,In review,2025-07-22,3
CUST374112,Sneha Nair,342,Construction of the house not proceeding as per the disbursement schedule,HL - retail,ALERT025,2025-07-04,2025-07-05,Low,733,West,HL - retail - West,2025-07-05,Medium,Closed,2025-07-11,6
CUST128927,Amit Sharma,342,Construction of the house not proceeding as per the disbursement schedule,HL - retail,ALERT026,2025-06-06,2025-06-07,High,486,North,HL - retail - North,2025-06-07,Critical,Escalation_1,2025-06-14,7
CUST859940,Neha Patel,678,Accounts involving cash payment of processing charge/EMIs (where electronic payment from Savings bank account not established),HL - retail,ALERT027,2025-04-18,2025-04-19,Low,709,West,HL - retail - West,2025-04-19,Medium,WIP,2025-04-22,3
CUST940996,Arjun Verma,678,Accounts involving cash payment of processing charge/EMIs (where electronic payment from Savings bank account not established),HL - retail,ALERT028,2025-05-09,2025-05-10,Low,737,South,HL - retail - South,2025-05-10,Medium,Closed,2025-05-13,3
CUST329832,Omkar Housing Pvt Ltd,950,Not routing of sale proceeds/receipts through the designated escrow accounts,HL - corporate,ALERT029,2025-06-20,2025-06-21,Low,737,West,HL - corporate - West,2025-06-21,Medium,Closed,2025-06-24,3
CUST157781,Suresh Rao,678,Accounts involving cash payment of processing charge/EMIs (where electronic payment from Savings bank account not established),HL - retail,ALERT030,2025-07-25,2025-07-26,Low,725,South,HL - retail - South,2025-07-26,Medium,WIP,2025-07-29,3
CUST731486,Kiran Das,736,Accounts where NACH/PDC bounces for 3 or more occasions in previous 12 months and EMIs are serviced in cash,HL - retail,ALERT031,2025-08-22,2025-08-23,Low,727,North,HL - retail - North,2025-08-23,Medium,Closed,2025-08-28,5
CUST859940,Neha Patel,412,Company is unable to contact the borrower during credit monitoring,HL - retail,ALERT032,2025-08-15,2025-08-16,Low,738,West,HL - retail - West,2025-08-16,Medium,WIP,2025-08-18,2
CUST644813,BluePeak Constructions Pvt Ltd,950,Not routing of sale proceeds/receipts through the designated escrow accounts,HL - corporate,ALERT033,2025-08-01,2025-08-02,Medium,660,East,HL - corporate - East,2025-08-02,High,WIP,2025-08-05,3
CUST940996,Arjun Verma,412,Company is unable to contact the borrower during credit monitoring,HL - retail,ALERT034,2025-07-25,2025-07-26,Low,741,West,HL - retail - West,2025-07-26,Medium,Escalation_2,2025-08-03,8
CUST197430,Everest Realty Pvt Ltd,950,Not routing of sale proceeds/receipts through the designated escrow accounts,HL - corporate,ALERT035,2025-05-16,2025-05-17,Low,720,East,HL - corporate - East,2025-05-17,Medium,Escalation_2,2025-05-25,8
CUST916471,Vikas Reddy,736,Accounts where NACH/PDC bounces for 3 or more occasions in previous 12 months and EMIs are serviced in cash,HL - retail,ALERT036,2025-04-18,2025-04-19,Medium,673,West,HL - retail - West,2025-04-19,High,Escalation_1,2025-04-25,6
CUST157781,Suresh Rao,523,Construction of house not commenced even after 18 months in case of composite loans,HL - retail,ALERT037,2025-08-29,2025-08-30,Low,737,North,HL - retail - North,2025-08-30,Medium,WIP,2025-09-01,2
CUST197430,Everest Realty Pvt Ltd,950,Not routing of sale proceeds/receipts through the designated escrow accounts,HL - corporate,ALERT038,2025-08-22,2025-08-23,Low,725,South,HL - corporate - South,2025-08-23,Medium,WIP,2025-08-25,2
CUST157781,Suresh Rao,601,Account in SMA 2 (>60 days overdue status) for more than 3 consecutive months,HL - retail,ALERT040,2025-08-22,2025-08-23,High,474,East,HL - retail - East,2025-08-23,Critical,Closed,2025-08-28,5
