Alert Id,Borrower Id,Borrower Name,Signal Code,Signal Name,Date Of Event,Date Of Alert,Product Type,Cibil Score,Alert Severity,Region,Portfolio,Case Creation Date,Case Type,Last Comment Date,Days Since Last Comment,Enquiry Product Type,No Of Enquiries,Report Extract Date,Assessment Period
ALERT0011,CUST916471,Vikas Reddy,107,High number of bureau enquiries in last 90 days,2025-09-30,2025-07-06,HL - retail,723,Low,North,HL - retail - North,2025-07-06,Medium,2025-07-11,5,gold loan,10,2025-09-30,46
ALERT0171,CUST859940,Neha Patel,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-07-06,HL - retail,732,Low,North,HL - retail - North,2025-07-06,Medium,2025-07-09,3,gold loan,3,2025-09-30,27
ALERT0431,CUST916471,Vikas Reddy,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-06-22,HL - retail,709,Low,West,HL - retail - West,2025-06-22,Medium,2025-06-25,3,gold loan,10,2025-09-30,38
ALERT0591,CUST128927,Amit Sharma,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-08-17,HL - retail,697,Medium,West,HL - retail - West,2025-08-17,High,2025-08-18,1,gold loan,7,2025-09-30,27
ALERT0691,CUST722919,Ravi Iyer,107,High number of bureau enquiries in last 90 days,2025-09-30,2025-08-03,HL - retail,723,Low,East,HL - retail - East,2025-08-03,Medium,2025-08-04,1,personal loan,8,2025-09-30,30
ALERT0741,CUST859940,Neha Patel,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-08-17,HL - retail,724,Low,North,HL - retail - North,2025-08-17,Medium,2025-08-22,5,personal loan,3,2025-09-30,17
ALERT0941,CUST940996,Arjun Verma,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-07-20,HL - retail,710,Low,South,HL - retail - South,2025-07-20,Medium,2025-07-23,3,gold loan,5,2025-09-30,28
ALERT1041,CUST916471,Vikas Reddy,107,High number of bureau enquiries in last 90 days,2025-09-30,2025-06-29,HL - retail,657,Medium,South,HL - retail - South,2025-06-29,High,2025-07-02,3,personal loan,6,2025-09-30,30
ALERT1291,CUST157781,Suresh Rao,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-04-27,HL - retail,672,Medium,West,HL - retail - West,2025-04-27,High,2025-04-30,3,home loan,10,2025-09-30,29
ALERT1401,CUST940996,Arjun Verma,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-06-29,HL - retail,726,Low,North,HL - retail - North,2025-06-29,Medium,2025-07-08,9,personal loan,5,2025-09-30,13
ALERT1491,CUST731486,Kiran Das,107,High number of bureau enquiries in last 90 days,2025-09-30,2025-04-20,HL - retail,676,Medium,West,HL - retail - West,2025-04-20,High,2025-04-23,3,home loan,10,2025-09-30,50
ALERT1701,CUST157781,Suresh Rao,107,High number of bureau enquiries in last 90 days,2025-09-30,2025-08-17,HL - retail,712,Low,West,HL - retail - West,2025-08-17,Medium,2025-08-20,3,home loan,7,2025-09-30,21
ALERT1841,CUST677836,Pooja Mehta,107,High number of bureau enquiries in last 90 days,2025-09-30,2025-06-29,HL - retail,595,High,South,HL - retail - South,2025-06-29,Critical,2025-07-04,5,gold loan,7,2025-09-30,18
ALERT1951,CUST157781,Suresh Rao,107,High number of bureau enquiries in last 90 days,2025-07-02,2025-08-17,HL - retail,694,Medium,West,HL - retail - West,2025-08-17,High,2025-08-22,5,personal loan,5,2025-09-30,21
