Alert Id,Borrower Id,Borrower Name,Signal Code,Signal Name,Date Of Event,Date Of Alert,Product Type,Cibil Score,Alert Severity,Region,Portfolio,Case Creation Date,Case Type,Last Comment Date,Days Since Last Comment,No Of Attempts Email,No Of Attempts Phone,Latest Completed Month Year,Overdue Amount,Max Dpd
ALERT023,CUST157781,Suresh Rao,412,Company is unable to contact the borrower during credit monitoring,2025-08-29,2025-08-30,HL - retail,661,Medium,South,HL - retail - South,2025-08-30,High,2025-09-01,2,12,2,08-2025,11174.4,42
ALERT032,CUST859940,Neha Patel,412,Company is unable to contact the borrower during credit monitoring,2025-08-15,2025-08-16,HL - retail,738,Low,West,HL - retail - West,2025-08-16,Medium,2025-08-18,2,3,6,08-2025,27013.05,31
ALERT034,CUST940996,Arjun Verma,412,Company is unable to contact the borrower during credit monitoring,2025-07-25,2025-07-26,HL - retail,741,Low,West,HL - retail - West,2025-07-26,Medium,2025-08-03,8,10,6,07-2025,15073.52,0
ALERT048,CUST916471,Vikas Reddy,412,Company is unable to contact the borrower during credit monitoring,2025-05-16,2025-05-17,HL - retail,670,Medium,South,HL - retail - South,2025-05-17,High,2025-05-20,3,3,5,05-2025,90308.33,59
ALERT060,CUST417187,Meera Joshi,412,Company is unable to contact the borrower during credit monitoring,2025-08-22,2025-08-23,HL - retail,658,Medium,South,HL - retail - South,2025-08-23,High,2025-08-27,4,6,11,08-2025,60660.47,0
ALERT071,CUST417187,Meera Joshi,412,Company is unable to contact the borrower during credit monitoring,2025-07-11,2025-07-12,HL - retail,738,Low,West,HL - retail - West,2025-07-12,Medium,2025-07-17,5,6,8,07-2025,45077.57,0
ALERT075,CUST859940,Neha Patel,412,Company is unable to contact the borrower during credit monitoring,2025-07-11,2025-07-12,HL - retail,451,High,West,HL - retail - West,2025-07-12,Critical,2025-07-19,7,1,10,07-2025,41159.55,0
ALERT092,CUST859940,Neha Patel,412,Company is unable to contact the borrower during credit monitoring,2025-05-23,2025-05-24,HL - retail,747,Low,East,HL - retail - East,2025-05-24,Medium,2025-05-27,3,10,6,05-2025,7599.08,50
ALERT117,CUST417187,Meera Joshi,412,Company is unable to contact the borrower during credit monitoring,2025-05-09,2025-05-10,HL - retail,690,Medium,East,HL - retail - East,2025-05-10,High,2025-05-16,6,5,9,05-2025,19813.24,0
ALERT131,CUST940996,Arjun Verma,412,Company is unable to contact the borrower during credit monitoring,2025-05-02,2025-05-03,HL - retail,712,Low,East,HL - retail - East,2025-05-03,Medium,2025-05-06,3,12,0,05-2025,35528.82,0
ALERT151,CUST722919,Ravi Iyer,412,Company is unable to contact the borrower during credit monitoring,2025-06-27,2025-06-28,HL - retail,716,Low,North,HL - retail - North,2025-06-28,Medium,2025-07-08,10,5,1,06-2025,6161.85,90
