Alert Id,Borrower Id,Borrower Name,Signal Code,Signal Name,Date Of Event,Date Of Alert,Product Type,Cibil Score,Alert Severity,Region,Portfolio,Case Creation Date,Case Type,Last Comment Date,Days Since Last Comment,Report Date,Max Internal Dpd,Max External Dpd,Report Extract Date,Assessment Period
ALERT0061,CUST677836,Pooja Mehta,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-08-03,HL - retail,721,Low,East,HL - retail - East,2025-08-03,Medium,2025-08-06,3,2025-09-17,0,0,2025-09-30,27
ALERT0091,CUST128927,Amit Sharma,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-07-27,HL - retail,700,Low,North,HL - retail - North,2025-07-27,Medium,2025-08-01,5,2025-06-04,6,0,2025-09-30,46
ALERT0101,CUST722919,Ravi Iyer,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-06-29,HL - retail,683,Medium,South,HL - retail - South,2025-06-29,High,2025-07-02,3,2025-09-03,0,6,2025-09-30,32
ALERT0311,CUST731486,Kiran Das,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-08-24,HL - retail,727,Low,North,HL - retail - North,2025-08-24,Medium,2025-08-29,5,2025-06-14,0,59,2025-09-30,37
ALERT0361,CUST916471,Vikas Reddy,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-04-20,HL - retail,673,Medium,West,HL - retail - West,2025-04-20,High,2025-04-26,6,2025-09-03,16,1,2025-09-30,13
ALERT0571,CUST731486,Kiran Das,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-06-15,HL - retail,559,High,North,HL - retail - North,2025-06-15,Critical,2025-06-16,1,2025-08-27,45,49,2025-09-30,20
ALERT0631,CUST374112,Sneha Nair,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-08-24,HL - retail,385,High,South,HL - retail - South,2025-08-24,Critical,2025-08-31,7,2025-09-12,52,0,2025-09-30,40
ALERT0701,CUST157781,Suresh Rao,733,Timely payment internal while borrower in DPD external,2025-09-30,2025-05-04,HL - retail,694,Medium,North,HL - retail - North,2025-05-04,High,2025-05-13,9,2025-09-12,0,3,2025-09-30,41
ALERT0731,CUST859940,Neha Patel,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-07-27,HL - retail,483,High,South,HL - retail - South,2025-07-27,Critical,2025-07-30,3,2025-06-03,48,31,2025-09-30,20
ALERT0791,CUST128927,Amit Sharma,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-05-11,HL - retail,733,Low,South,HL - retail - South,2025-05-11,Medium,2025-05-14,3,2025-06-13,7,11,2025-09-30,38
ALERT0801,CUST677836,Pooja Mehta,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-08-17,HL - retail,701,Low,South,HL - retail - South,2025-08-17,Medium,2025-08-19,2,2025-05-26,13,84,2025-09-30,13
ALERT0831,CUST940996,Arjun Verma,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-07-13,HL - retail,742,Low,West,HL - retail - West,2025-07-13,Medium,2025-07-18,5,2025-06-06,36,59,2025-09-30,41
ALERT0871,CUST940996,Arjun Verma,733,Timely payment internal while borrower in DPD external,2025-09-30,2025-06-15,HL - retail,681,Medium,West,HL - retail - West,2025-06-15,High,2025-06-19,4,2025-06-11,0,54,2025-09-30,26
ALERT0991,CUST677836,Pooja Mehta,733,Timely payment internal while borrower in DPD external,2025-09-30,2025-07-20,HL - retail,458,High,East,HL - retail - East,2025-07-20,Critical,2025-07-23,3,2025-08-16,0,47,2025-09-30,27
ALERT1141,CUST731486,Kiran Das,733,Timely payment internal while borrower in DPD external,2025-09-30,2025-08-10,HL - retail,703,Low,East,HL - retail - East,2025-08-10,Medium,2025-08-17,7,2025-09-13,0,0,2025-09-30,18
ALERT1241,CUST859940,Neha Patel,733,Timely payment internal while borrower in DPD external,2025-09-30,2025-07-06,HL - retail,717,Low,West,HL - retail - West,2025-07-06,Medium,2025-07-08,2,2025-09-09,0,43,2025-09-30,26
ALERT1471,CUST128927,Amit Sharma,733,Timely payment internal while borrower in DPD external,2025-09-30,2025-08-31,HL - retail,747,Low,South,HL - retail - South,2025-08-31,Medium,2025-09-05,5,2025-06-15,0,0,2025-09-30,26
ALERT1641,CUST128927,Amit Sharma,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-08-17,HL - retail,731,Low,East,HL - retail - East,2025-08-17,Medium,2025-08-21,4,2025-05-13,15,0,2025-09-30,21
ALERT1911,CUST731486,Kiran Das,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-04-20,HL - retail,731,Low,West,HL - retail - West,2025-04-20,Medium,2025-04-22,2,2025-08-31,42,0,2025-09-30,41
ALERT1981,CUST128927,Amit Sharma,733,Timely payment internal while borrower in DPD external,2025-07-02,2025-07-13,HL - retail,733,Low,North,HL - retail - North,2025-07-13,Medium,2025-07-22,9,2025-09-02,0,0,2025-09-30,45
ALERT1991,CUST859940,Neha Patel,733,Timely payment internal while borrower in DPD external,2025-09-30,2025-07-06,HL - retail,718,Low,East,HL - retail - East,2025-07-06,Medium,2025-07-12,6,2025-09-11,65,69,2025-09-30,38
